RMS,Peak,Freq,Crest,THD
0.003,0.0117,1287.5,3.84,6.867411207044673
0.0033,0.0117,1312.5,3.582,4.793491409529133
0.0034,0.0118,1112.5,3.48,6.796011122539736
0.0032,0.0103,1137.5,3.254,7.335477523325319
0.0034,0.0087,1275.0,2.56,6.53397262150032
0.0036,0.0114,1187.5,3.18,6.449365101065383
0.0033,0.011,1250.0,3.29,7.3659807877402415
0.0035,0.0102,1175.0,2.926,5.930202811631855
0.003,0.0092,1212.5,3.019,5.451326781113321
0.003,0.0084,1262.5,2.849,7.03664874139961
0.0033,0.0117,1187.5,3.549,5.964311034633282
0.0035,0.0124,1137.5,3.58,6.460861610591163
0.0035,0.016,1137.5,4.521,5.499228160149528
0.0032,0.0107,1325.0,3.409,6.121433625449095
0.0036,0.0143,1112.5,4.003,7.482759279139632
0.0032,0.0086,1162.5,2.715,6.554910641470937
0.0034,0.0127,1437.5,3.754,5.421861409156126
0.0032,0.0097,1425.0,3.072,6.527835025654285
0.0036,0.0176,1200.0,4.954,5.731616115708735
0.0031,0.0089,1125.0,2.838,5.706345183641278
0.0033,0.0085,1362.5,2.57,5.873163589327557
0.0033,0.009,1175.0,2.727,5.12231161369424
0.0036,0.0118,1225.0,3.242,6.39291746402182
0.0037,0.0167,1112.5,4.508,7.320461963052078
0.0031,0.0111,1275.0,3.551,5.136045708682366
0.0032,0.0086,1275.0,2.651,5.1675992123474455
0.0034,0.0085,1262.5,2.523,5.940917382303492
0.0036,0.0189,1262.5,5.187,5.6910050401797
0.0033,0.0102,1437.5,3.107,5.828255681211726
0.0034,0.0109,1212.5,3.224,6.177533418513407
0.0029,0.0074,1262.5,2.571,6.1874649106000525
0.0041,0.0174,1187.5,4.305,5.725747821290329
0.0035,0.0088,1387.5,2.537,6.160867006069504
0.0035,0.0144,1400.0,4.147,4.32944169337504
0.0034,0.012,1312.5,3.55,5.448711483890199
0.0037,0.0204,1162.5,5.43,5.492092852975664
0.0032,0.0087,1325.0,2.745,6.386400528270423
0.003,0.0083,1162.5,2.797,6.474615106335921
0.0033,0.0103,1225.0,3.163,6.254888585360174
0.0031,0.0111,1250.0,3.53,6.709180334885311
0.0032,0.01,1312.5,3.15,7.058845135359883
0.003,0.0092,1212.5,3.014,7.238629295556843
0.0029,0.0102,1237.5,3.509,6.080764301002325
0.003,0.0131,1437.5,4.321,6.607715506240487
0.003,0.0087,1412.5,2.853,5.99972037548025
0.003,0.0086,1425.0,2.842,5.058319666221008
0.0031,0.0082,1237.5,2.674,5.331334352301003
0.0033,0.0144,1187.5,4.339,7.046193894269001
0.0034,0.0118,1450.0,3.488,6.542254144869439
0.0035,0.0103,1150.0,2.979,6.2463088574024885
0.0033,0.0092,1150.0,2.751,6.602952326131958
0.0032,0.0092,1225.0,2.842,5.733725383661408
0.0028,0.008,1262.5,2.833,6.889361611956168
0.0034,0.0115,1237.5,3.377,6.091849802647285
0.0034,0.0095,1275.0,2.769,6.211016887209651
0.0035,0.0099,1262.5,2.863,6.482261068605311
0.0035,0.0112,1212.5,3.203,6.061832567436013
0.0029,0.0082,1275.0,2.786,5.820801015690464
0.0033,0.0091,1200.0,2.739,5.81741678242357
0.0032,0.0084,1212.5,2.666,6.105382056764987
0.0035,0.0122,1325.0,3.463,6.538650427666825
0.0032,0.0129,1337.5,3.977,6.351525680053826
0.0033,0.009,1100.0,2.699,6.532199154533637
0.0028,0.0082,1150.0,2.892,6.222397385505977
0.003,0.0103,1212.5,3.441,7.098930937267078
0.0035,0.0094,1212.5,2.648,5.076810950901302
0.0033,0.0117,1200.0,3.516,6.777312040270788
0.0031,0.0081,1187.5,2.601,6.433666427912254
0.0033,0.0191,1375.0,5.768,4.559081622005556
0.0036,0.0136,1300.0,3.815,6.522466924145084
0.0034,0.0112,1300.0,3.323,4.775429395979851
0.0027,0.0087,1312.5,3.189,6.173661357242749
0.003,0.0087,1200.0,2.898,6.228780403573158
0.0028,0.0069,1050.0,2.461,6.224964779701739
0.0029,0.0087,1250.0,3.011,6.2038868316287585
0.003,0.0103,1162.5,3.417,5.510069077039849
0.0032,0.0101,1200.0,3.15,6.1251871026721325
0.003,0.0091,1262.5,3.042,7.246187970954709
0.0031,0.0086,1225.0,2.803,6.950985829251273
0.003,0.0095,1300.0,3.129,7.578801624742312
0.0028,0.0081,1337.5,2.953,5.866590818878245
0.0032,0.0118,950.0,3.648,5.030693246950883
0.0033,0.0117,1250.0,3.566,6.467993273440787
0.0035,0.0099,1300.0,2.841,6.847185306643043
0.0031,0.0097,1187.5,3.118,4.495784908118601
0.003,0.0109,1312.5,3.624,7.077427756639351
0.0032,0.0092,1300.0,2.873,8.066922632185594
0.0029,0.0088,1337.5,3.022,6.018351849714772
0.0029,0.0073,1375.0,2.527,6.278450534013999
0.0032,0.011,1175.0,3.404,6.748003591784325
0.0033,0.0157,1350.0,4.813,6.777464148672479
0.0031,0.0097,1250.0,3.166,5.607566185955546
0.0029,0.0084,1337.5,2.856,6.465718621526775
0.003,0.0085,1300.0,2.791,6.691027821807534
0.003,0.0112,1225.0,3.701,6.065191088394301
0.0031,0.0078,1325.0,2.521,6.004987054530822
0.003,0.009,1387.5,2.981,5.9857092786615125
0.0026,0.0085,1175.0,3.308,7.156531568950607
0.0034,0.0123,1375.0,3.665,6.183244951429922
0.0033,0.0129,1250.0,3.952,6.14812732594578
0.003,0.0091,1162.5,3.052,6.237642489677316
0.003,0.0125,1300.0,4.18,5.997896333400151
0.0034,0.0129,1187.5,3.793,7.2649465636214945
0.003,0.0104,1250.0,3.494,6.052763571444711
0.0029,0.0092,1137.5,3.175,5.356870948543524
0.003,0.0095,1237.5,3.175,6.751095762483536
0.003,0.0096,1250.0,3.164,4.7981383261803545
0.003,0.0126,1262.5,4.164,6.369381196348859
0.0029,0.0089,1400.0,3.116,6.568969775192421
0.0028,0.0083,1237.5,2.938,7.311012511841691
0.003,0.0093,1125.0,3.109,6.5056761876318685
0.0031,0.0133,1387.5,4.266,5.6477306369527405
0.0028,0.0083,1250.0,2.968,5.651144222618594
0.0032,0.0119,1150.0,3.667,6.195208983038772
0.0027,0.0084,1212.5,3.102,4.437678927436603
0.0029,0.0071,1100.0,2.436,7.101629864746247
0.003,0.0169,1187.5,5.652,6.2845997905144735
0.0037,0.0119,1312.5,3.272,6.258806427260855
0.0035,0.0086,1187.5,2.468,5.421957664191038
0.0035,0.0085,1162.5,2.464,5.9361550317800615
0.0044,0.023,1362.5,5.264,6.654287998432259
0.0033,0.0084,1125.0,2.551,5.563682364779005
0.0035,0.0101,1237.5,2.881,6.83111343464896
0.0036,0.0114,1312.5,3.142,6.1064594399019905
